Id,SalePrice
1461,120500.0
1462,170000.0
1463,173000.0
1464,173000.0
1465,191000.0
1466,178000.0
1467,183200.0
1468,176000.0
1469,167000.0
1470,115000.0
1471,153500.0
1472,85400.0
1473,88000.0
1474,146000.0
1475,125000.0
1476,386250.0
1477,245350.0
1478,395192.0
1479,212900.0
1480,305000.0
1481,426000.0
1482,202665.0
1483,176432.0
1484,160200.0
1485,173000.0
1486,185000.0
1487,501837.0
1488,232000.0
1489,184900.0
1490,211000.0
1491,225000.0
1492,104900.0
1493,190000.0
1494,290000.0
1495,235000.0
1496,146000.0
1497,216000.0
1498,173733.0
1499,173733.0
1500,173733.0
1501,177000.0
1502,148800.0
1503,270000.0
1504,213500.0
1505,227000.0
1506,185750.0
1507,256000.0
1508,190000.0
1509,119000.0
1510,174900.0
1511,160000.0
1512,136500.0
1513,185750.0
1514,163500.0
1515,169000.0
1516,193500.0
1517,140000.0
1518,161500.0
1519,207500.0
1520,139000.0
1521,148000.0
1522,142000.0
1523,132500.0
1524,108480.0
1525,129000.0
1526,97500.0
1527,120500.0
1528,105000.0
1529,102000.0
1530,167000.0
1531,124000.0
1532,117000.0
1533,60000.0
1534,135000.0
1535,112500.0
1536,141500.0
1537,89500.0
1538,213000.0
1539,210000.0
1540,145000.0
1541,163000.0
1542,149000.0
1543,124000.0
1544,91000.0
1545,128000.0
1546,127500.0
1547,140000.0
1548,108000.0
1549,124000.0
1550,93000.0
1551,135000.0
1552,108000.0
1553,79000.0
1554,66500.0
1555,190000.0
1556,135000.0
1557,140000.0
1558,188700.0
1559,135000.0
1560,135900.0
1561,136500.0
1562,107500.0
1563,123000.0
1564,159000.0
1565,158000.0
1566,324000.0
1567,105000.0
1568,205000.0
1569,126000.0
1570,159950.0
1571,115000.0
1572,157000.0
1573,186700.0
1574,185000.0
1575,149900.0
1576,177500.0
1577,178000.0
1578,140000.0
1579,125000.0
1580,216837.0
1581,161750.0
1582,120500.0
1583,230000.0
1584,310000.0
1585,140000.0
1586,86000.0
1587,104900.0
1588,140000.0
1589,83000.0
1590,180500.0
1591,108000.0
1592,127000.0
1593,120500.0
1594,200000.0
1595,91500.0
1596,157900.0
1597,154300.0
1598,170000.0
1599,142500.0
1600,160200.0
1601,113000.0
1602,132000.0
1603,132000.0
1604,275000.0
1605,192000.0
1606,139000.0
1607,142600.0
1608,193879.0
1609,202900.0
1610,167500.0
1611,140000.0
1612,176432.0
1613,181000.0
1614,129000.0
1615,84500.0
1616,88000.0
1617,83500.0
1618,129500.0
1619,129500.0
1620,239000.0
1621,129500.0
1622,175000.0
1623,262280.0
1624,196000.0
1625,128500.0
1626,136500.0
1627,177500.0
1628,354000.0
1629,241000.0
1630,148500.0
1631,191000.0
1632,278000.0
1633,163900.0
1634,216500.0
1635,177000.0
1636,179200.0
1637,179900.0
1638,200000.0
1639,165000.0
1640,277000.0
1641,136500.0
1642,236000.0
1643,213500.0
1644,223500.0
1645,215000.0
1646,136500.0
1647,277000.0
1648,140000.0
1649,145500.0
1650,124500.0
1651,129900.0
1652,83000.0
1653,94500.0
1654,155000.0
1655,160000.0
1656,148500.0
1657,179400.0
1658,148500.0
1659,125000.0
1660,139000.0
1661,299800.0
1662,280000.0
1663,402861.0
1664,305000.0
1665,395192.0
1666,325000.0
1667,383970.0
1668,337500.0
1669,320000.0
1670,320000.0
1671,204000.0
1672,326000.0
1673,309000.0
1674,250000.0
1675,143000.0
1676,196000.0
1677,170000.0
1678,385000.0
1679,555000.0
1680,266000.0
1681,277500.0
1682,283463.0
1683,202500.0
1684,225000.0
1685,173000.0
1686,167240.0
1687,160000.0
1688,183500.0
1689,370878.0
1690,214000.0
1691,180000.0
1692,335000.0
1693,160000.0
1694,143000.0
1695,180000.0
1696,383970.0
1697,180000.0
1698,337000.0
1699,262000.0
1700,250000.0
1701,290000.0
1702,266000.0
1703,232600.0
1704,255000.0
1705,370878.0
1706,305000.0
1707,234000.0
1708,213000.0
1709,395192.0
1710,262500.0
1711,252678.0
1712,234000.0
1713,272000.0
1714,230000.0
1715,208500.0
